"Campus","Activity_Type","Frequency","Count"
"Belval Campus preference02","necessaryactivities","Daily",6
"Belval Campus preference02","necessaryactivities","Weekly",3
"Belval Campus preference02","necessaryactivities","Monthly",1
"Belval Campus preference02","necessaryactivities","Rarely_Occasionally",2
"Belval Campus preference02","necessaryactivities","Never",4
"Belval Campus preference02","optionalactivities","Daily",6
"Belval Campus preference02","optionalactivities","Weekly",2
"Belval Campus preference02","optionalactivities","Monthly",3
"Belval Campus preference02","optionalactivities","Rarely_Occasionally",1
"Belval Campus preference02","optionalactivities","Never",4
"Belval Campus preference02","socialactivities","Daily",3
"Belval Campus preference02","socialactivities","Weekly",2
"Belval Campus preference02","socialactivities","Monthly",1
"Belval Campus preference02","socialactivities","Rarely_Occasionally",7
"Belval Campus preference02","socialactivities","Never",3
"Kirchberg Campus preference02","necessaryactivities","Daily",9
"Kirchberg Campus preference02","necessaryactivities","Weekly",4
"Kirchberg Campus preference02","necessaryactivities","Monthly",1
"Kirchberg Campus preference02","necessaryactivities","Rarely_Occasionally",2
"Kirchberg Campus preference02","necessaryactivities","Never",3
"Kirchberg Campus preference02","optionalactivities","Daily",5
"Kirchberg Campus preference02","optionalactivities","Weekly",6
"Kirchberg Campus preference02","optionalactivities","Monthly",2
"Kirchberg Campus preference02","optionalactivities","Rarely_Occasionally",4
"Kirchberg Campus preference02","optionalactivities","Never",2
"Kirchberg Campus preference02","socialactivities","Daily",4
"Kirchberg Campus preference02","socialactivities","Weekly",5
"Kirchberg Campus preference02","socialactivities","Monthly",4
"Kirchberg Campus preference02","socialactivities","Rarely_Occasionally",4
"Kirchberg Campus preference02","socialactivities","Never",2
"Limpertsberg Campus preference02","necessaryactivities","Daily",5
"Limpertsberg Campus preference02","necessaryactivities","Rarely_Occasionally",2
"Limpertsberg Campus preference02","optionalactivities","Daily",4
"Limpertsberg Campus preference02","optionalactivities","Weekly",1
"Limpertsberg Campus preference02","optionalactivities","Monthly",1
"Limpertsberg Campus preference02","optionalactivities","Rarely_Occasionally",1
"Limpertsberg Campus preference02","socialactivities","Daily",2
"Limpertsberg Campus preference02","socialactivities","Weekly",4
"Limpertsberg Campus preference02","socialactivities","Monthly",1
