"","Mean","Median","Mode","Min","Max","IQR","Skewness","Kurtosis"
"StressBelvalCampus",22.3809523809524,20,20,10,40,20,0.309769287020121,-1.11869985213055
"StressKirchbergCampus",22.6190476190476,20,10,10,50,20,0.580102977298687,-0.846377916229581
"StressLimpertsbergCampus",16.1904761904762,10,10,10,50,10,1.61975985796787,1.35306864718966
"FearBelvalCampus",20,20,10,10,40,20,0.642493494573057,-0.849960645415191
"FearKirchbergCampus",20.7142857142857,15,10,10,50,20,0.694864238456179,-1.06518858588647
"FearLimpertsbergCampus",15.7142857142857,10,10,10,40,10,1.47544432909172,1.08695507369614
"CalmnessBelvalCampus",26.6666666666667,30,30,10,50,10,0.174747901462059,-0.629840029761904
"CalmnessKirchbergCampus",30.7142857142857,30,40,10,50,20,-0.290704586340563,-0.991331617381716
"CalmnessLimpertsbergCampus",40.2380952380952,40,50,10,50,10,-1.139780261443,0.717369065530406
"HappinessBelvalCampus",30,30,30,10,50,20,-0.212154737522077,-0.662609523809524
"HappinessKirchbergCampus",27.1428571428571,30,30,10,50,10,0.0443942054895633,-0.892176870748299
"HappinessLimpertsbergCampus",34.5238095238095,35,30,10,50,10,-0.331077282268572,-0.871239967762574
"SatisfactionsBelvalCampus",30.7142857142857,30,40,10,50,17.5,-0.467203403623575,-0.666178758609893
"SatisfactionsKirchbergCampus",28.8095238095238,30,30,10,50,17.5,0.038959022046931,-0.680195806279074
"SatisfactionsLimpertsbergCampus",33.0952380952381,40,40,10,50,20,-0.383836635439626,-1.11413243282965
"ExcitementBelvalCampus",30.952380952381,30,30,10,50,17.5,-0.297536354320653,-0.610761537414967
"ExcitementKirchbergCampus",25,30,30,10,50,17.5,0.0492956723390885,-1.08865889212828
"ExcitementLimpertsbergCampus",31.4285714285714,30,20,10,50,20,-0.0146826697199599,-1.25038915102174
